habitat,no_species,substrate,pH
forest,123,dead wood,6.77
forest,126,dead wood,6.8
forest,140,dead wood,6.73
forest,154,dead wood,7.3
forest,165,dead wood,7.57
forest,170,dead wood,7.33
forest,182,dead wood,7.97
forest,185,dead wood,8.13
forest,193,dead wood,8.1
forest,197,dead wood,8.17
forest,197,dead wood,8.27
forest,219,dead wood,8.07
forest,239,dead wood,8.73
forest,240,dead wood,8.53
forest,242,dead wood,8.6
moorland,41,dead wood,5.8
moorland,45,dead wood,6.07
moorland,46,dead wood,5.37
moorland,49,dead wood,6.03
moorland,55,dead wood,5.53
moorland,57,dead wood,5.97
moorland,63,dead wood,6.83
moorland,65,dead wood,6.13
moorland,68,dead wood,6.27
moorland,70,dead wood,6.33
moorland,81,dead wood,6.63
moorland,92,dead wood,7.13
moorland,98,dead wood,7.27
moorland,105,dead wood,7.57
moorland,114,dead wood,7.93
forest,26,soil,5.17
forest,34,soil,4.7
forest,46,soil,5.07
forest,48,soil,5.73
forest,49,soil,6.57
forest,51,soil,5.77
forest,55,soil,5.37
forest,55,soil,6.03
forest,60,soil,5.9
forest,61,soil,5.93
forest,75,soil,6.57
forest,78,soil,6.1
forest,88,soil,7.2
forest,96,soil,7.37
forest,141,soil,8.07
moorland,6,soil,3.33
moorland,11,soil,4.9
moorland,16,soil,4.13
moorland,16,soil,3.83
moorland,17,soil,5.33
moorland,19,soil,4.77
moorland,20,soil,4.97
moorland,20,soil,5.53
moorland,22,soil,5
moorland,22,soil,6.07
moorland,26,soil,5.17
moorland,27,soil,5.6
moorland,29,soil,5.5
moorland,37,soil,6.27
moorland,42,soil,5.8
