"species_richness","habitat"
19,"Conifer woodland"
29,"Conifer woodland"
29,"Conifer woodland"
24,"Conifer woodland"
15,"Conifer woodland"
25,"Conifer woodland"
26,"Conifer woodland"
25,"Conifer woodland"
21,"Conifer woodland"
30,"Conifer woodland"
24,"Conifer woodland"
20,"Conifer woodland"
21,"Conifer woodland"
21,"Conifer woodland"
24,"Conifer woodland"
18,"Conifer woodland"
26,"Conifer woodland"
25,"Conifer woodland"
27,"Conifer woodland"
26,"Conifer woodland"
27,"Broadleaf woodland"
16,"Broadleaf woodland"
29,"Broadleaf woodland"
32,"Broadleaf woodland"
23,"Broadleaf woodland"
24,"Broadleaf woodland"
25,"Broadleaf woodland"
24,"Broadleaf woodland"
29,"Broadleaf woodland"
26,"Broadleaf woodland"
19,"Broadleaf woodland"
32,"Broadleaf woodland"
24,"Broadleaf woodland"
32,"Broadleaf woodland"
30,"Broadleaf woodland"
26,"Broadleaf woodland"
25,"Broadleaf woodland"
30,"Broadleaf woodland"
29,"Broadleaf woodland"
23,"Broadleaf woodland"
13,"Grassland"
23,"Grassland"
19,"Grassland"
23,"Grassland"
21,"Grassland"
17,"Grassland"
16,"Grassland"
26,"Grassland"
28,"Grassland"
18,"Grassland"
15,"Grassland"
14,"Grassland"
30,"Grassland"
19,"Grassland"
23,"Grassland"
20,"Grassland"
16,"Grassland"
13,"Grassland"
26,"Grassland"
20,"Grassland"
29,"Park"
22,"Park"
16,"Park"
19,"Park"
22,"Park"
24,"Park"
20,"Park"
19,"Park"
15,"Park"
17,"Park"
25,"Park"
23,"Park"
19,"Park"
18,"Park"
18,"Park"
24,"Park"
18,"Park"
25,"Park"
22,"Park"
25,"Park"
