"bio_index","indicator_spp","cover","distance"
21,13,10.96,2.25
45.21,15,80.51,3.48
33.1,10,73.99,3.01
52.19,18,47.27,2.74
45.04,17,35.95,1.4
17.45,11,28.66,1.9
32.69,16,61.56,1.53
8.56,10,24.59,4.87
20.02,13,13.02,3.47
41,16,5.53,2.98
26.43,12,73.96,3.44
40.38,15,65.14,1.88
34.95,10,13.42,1.08
41.05,19,87.21,3.78
29.46,11,18.81,3.02
46.92,17,59.68,1.66
20.62,11,6.01,3.88
26.89,18,75.61,3
27.85,11,44.96,2.94
16.84,10,83.4,4.56
44.69,19,99.14,2.81
39.81,16,77.82,4.83
30.55,15,72.62,2.04
26.91,13,94.27,4.7
24.11,18,57.12,4.84
39.09,18,49.51,2.9
47.02,15,86,3.57
44.9,16,86.96,1.57
49.96,18,40.25,2.89
32.68,14,33.12,3.28
29.17,10,1.73,3.45
30.31,12,31.49,1.88
20.77,15,35.55,3.86
48.73,15,45.45,2.14
33.98,15,69.95,1.4
41.98,18,19.01,4.27
35.93,18,69.77,3.67
45.42,17,47.59,1.05
19.5,10,8.04,2.14
23.59,14,24.67,4.7
