NBN Atlas record ID,Occurrence ID,Licence,Rightsholder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date,Start date day,Start date month,Start date year,End date,End date day,End date month,End date year,Locality,OSGR,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Verbatim depth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality
efd68430-81cc-4cd7-8cff-66f04c1fc6a4,38443082,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,12/09/2024,12,09,2024,,,,,"Kershope Forest, near White Lyne Common",NY55958009,55.113284,-2.692012,7.1,,"Martin, John",,1,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NY,NY58,NY58K,NY5580,United Kingdom,England,
eaadd45b-3231-412c-b66c-2f66c81ab34c,38582670,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,22/09/2024,22,09,2024,,,,,A591 far house,NY234299,54.65872,-3.18763,26,,Aimee Campbell,,1,,,,,,,8.40 am A591 opposite far house entrance .large hare dead on road .well scavenged  wasn't there last night,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NY,NY22,NY22J,NY2329,United Kingdom,England,
dc68769e-0091-4169-9681-82011a89570a,38442528,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,12/09/2024,12,09,2024,,,,,"Kershope Forest, Shields Knowe",NY51718452,55.152692,-2.759229,7.1,,"Martin, John",,1,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NY,NY58,NY58C,NY5184,United Kingdom,England,
bf79d53e-97a9-4d72-a026-3f0af512a4a4,38431066,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,12/09/2024,12,09,2024,,,,,"Jamage Industrial Estate, Talke Pits, Stoke-on-Trent ST7 1XW, UK",SJ81825285,53.07265152,-2.27269236,3,,trickywoo,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ85,SJ85B,SJ8152,United Kingdom,England,
aecc1767-2c30-45b8-a85d-89d99c4c9234,38588402,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/09/2024,11,09,2024,,,,,"Swanage, Dorset",SZ02337839,50.605269,-1.968364,7.1,,"Millar, Keith","Millar, Keith",2,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SZ,SZ07,SZ07J,SZ0278,United Kingdom,England,
8c388cc3-e38c-4931-bbf1-43e5ffcb0b3c,38416901,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,09/09/2024,09,09,2024,,,,,Garswood,SJ54289852,53.481449,-2.690331,7.1,,"Horne, Karl",,1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ59,SJ59P,SJ5498,United Kingdom,England,
717add24-8b71-4db5-9c9e-ca63312b4736,38416880,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/09/2024,11,09,2024,,,,,,TL84,52.072458,0.697918,7071.1,,"Browne, Frances",,1,,,,,not recorded,immature,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TL,TL84,,,United Kingdom,England,
5adf678f-61a5-4246-859e-2bbae590adbc,38473351,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,15/09/2024,15,09,2024,,,,,"Rufford, Ormskirk, UK",SD445152,53.63126065499999,-2.839765461,61,,J Newman,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SD,SD41,SD41M,SD4415,United Kingdom,England,
50ddc29d-b439-4762-8b09-32d4433a77ba,38302740,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,04/09/2024,04,09,2024,,,,,Milligansbushfield,NY31757180,55.03606,-3.06934,5,,Malcolm Haddow,,1,,,,,,adult,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NY,NY37,NY37A,NY3171,United Kingdom,Scotland,
ff73af89-8ec8-451a-8c81-dc7c372e6dea,34694633,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,29/01/2024,29,01,2024,,,,,RSPB Otmoor,SP565131,51.814129,-1.181077,70.7,,"Cooper, Andrew and Jenny","Cooper, Andrew and Jenny",1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SP,SP51,SP51R,SP5613,United Kingdom,England,
f4931f7f-49c4-430c-a143-4d4d14b41d8b,34582315,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,12/01/2024,12,01,2024,,,,,"Lancashire, Bretherton, Green Lanes Farm",SD492215,53.68785,-2.76986,50,,Charles Farrell,,1,,,,,,adult,1 seen in field near abandonded farm house.,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SD,SD42,SD42V,SD4921,United Kingdom,England,
f4427cff-bcef-4a58-966f-5c09b83ea646,34718586,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,27/01/2024,27,01,2024,,,,,Goldsitch Moss,SK003646,53.178953,-1.996219,70.7,,"Richard, Anne-Marie",,1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SK,SK06,SK06C,SK0064,United Kingdom,England,
e40c316f-cfaa-4b98-8379-36cf485f0b5d,34521547,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,07/01/2024,07,01,2024,,,,,Hassall,SJ761571,53.110998,-2.357743,70.7,,"Richard, Anne-Marie",,1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ75,SJ75T,SJ7657,United Kingdom,England,
d32a9f24-6cdb-4761-8529-f35ee75939e2,34668606,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,26/01/2024,26,01,2024,,,,,Hazeleigh Wood,TL835040,51.70552,0.65435,50,,Simon Wood,,2–5,,,,,,adult,Three found in wood using thermal imaging camera,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TL,TL80,TL80H,TL8304,United Kingdom,England,
