"full_name","treatment","sample_id","IM-7M2SP7","IM-78X1B1","IM-4ND883","IM-RSZI18","IM-334H2K","IM-F9068M","IM-1V55OS","IM-305W8A","IM-428GQN","IM-8KS9P1","IM-3J6G71","IM-4WW5T3","IM-G5F3TH","IM-MEJ30X","IM-K7Q27E","IM-U65ZD5","IM-337XP1","IM-GA9L47","IM-S9Q84N","IM-5P129S","IM-I0P7C5","IM-M138QZ","IM-1H6JFR","IM-422A1B","IM-6F61VC","IM-7FC6TN","IM-7RD93K","IM-906WT4","IM-JV13K4","IM-R5936Z","IM-55D82Y","IM-9ZB1Q1","IM-AB71M4","IM-190J9Q","IM-TCO9K2","IM-72KTBG","IM-89ZMWX","IM-LG2V28","IM-91Q4H5","IM-391CF6","IM-M915IN","IM-D4NNU1","IM-08B2XL","IM-4W0E0Q","IM-9AE85U","IM-N52J65","IM-UK7W5P","IM-YIK26P","IM-ZOYD48","IM-S60YZJ","IM-V408L1","IM-50O01X","IM-DN8720","IM-J8A8NA","IM-5L1C0P","IM-1IZ1P2","IM-PR2G18","IM-R73A27","IM-W528R2","IM-1C8F37","IM-4W558P","IM-8A7Y9U","IM-FJ6G7C","IM-6B6Z1E","IM-4F2B9G","IM-41KU19","IM-8Q11E7","IM-OXD9T7","IM-CP3A7E","IM-S92Q4H","IM-9WSM26","IM-Z68I7G","IM-5CN4S4","IM-J5GW9Q","IM-1NX2KF","IM-F313RX","IM-948PZG","IM-RL7U24","IM-3G161A","IM-JX6A05","IM-ADDS65","IM-C9B6EO","IM-22EZC4","IM-YBP83B","IM-9998CQ","IM-F6711O","IM-Z2H79F","IM-3P509O","IM-13KF25","IM-A82RJ6","IM-IE1JX5","IM-V4Z252","IM-PK9F25","IM-O1D80D","IM-0EEM5K","IM-4N6QL9","IM-W8JJ05","IM-8B34IW","IM-G7653K","IM-QE212Z","IM-G37T86","IM-5U013M","IM-7S8KX8","IM-5VX084","IM-R812N9","IM-7YW1GJ","IM-6J92Y0","IM-HI14CV","IM-5KK91V","IM-TC8X74","IM-PC4K45","IM-2SK98H","IM-94NE8M","IM-4H3Q1W","IM-N5G46L","IM-TL916M","IM-0YR5G7","IM-66A8LH","IM-T5G5XM","IM-XY3310","IM-4M4W31","IM-W0U045","IM-3543IO","IM-W59N53","IM-B3YJ86","IM-F89SQ5","IM-2AJ882","IM-83TPNR","IM-L98FF1","IM-A3Q3XK","IM-H4X681","IM-J7C54X","IM-N37KS6","IM-KT9D4Q","IM-T3QE8Q"
"Control_Treatment_S10_E3","Treatment_S","S10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S11_E3","Treatment_S","S11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S12_E3","Treatment_S","S12",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Control_Treatment_S13_E3","Treatment_S","S13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S14_E3","Treatment_S","S14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S15_E3","Treatment_S","S15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S16_E3","Treatment_S","S16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S17_E3","Treatment_S","S17",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control_Treatment_S18_E3","Treatment_S","S18",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Control_Treatment_S19_E3","Treatment_S","S19",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
